numero_compteur,avg_amperage_per_day,median_amperage_per_day,avg_depense_per_day,jours_observed,records_per_day_avg,zone,type_maison,nombre_personnes,ratio_depense_amperage,niveau_conso,niveau_conso_pred,prob_petit,prob_moyen,prob_grand,confiance
SGJR_10048,1.9746938775510205,1.32,0.018105714285714284,49,13.285714285714286,Janrabel,Rezidansyel,4.0,0.009168871429833868,moyen,moyen,0.00028703065,0.9995189,0.00019405098,0.9995189
SGJR_10049,1.415,1.415,0.014123333333333331,2,22.0,Janrabel,Rezidansyel,4.0,0.009981154292121678,moyen,moyen,0.0005057345,0.9966799,0.002814371,0.9966799
SGJR_10050,1.7919672131147542,0.27,0.018385027322404372,61,12.967213114754099,Janrabel,Rezidansyel,4.0,0.010259689562170209,moyen,moyen,0.00020932486,0.99959415,0.00019651148,0.99959415
SGJR_10051,1.0477777777777777,0.89,0.009047777777777778,9,19.333333333333332,Janrabel,Rezidansyel,4.0,0.008635206778609029,petit,grand,0.00033024052,0.00043950573,0.99923027,0.99923027
SGJR_10055,5.097535211267606,2.4000000000000004,0.05378941314553991,142,16.274647887323944,Janrabel,Rezidansyel,4.0,0.010552043469183224,grand,petit,0.99939716,0.00039857987,0.00020427324,0.99939716
SGJR_10057,1.6790140845070423,0.32,0.01828805164319249,142,18.711267605633804,Janrabel,Rezidansyel,4.0,0.01089213711847433,moyen,moyen,0.00018837076,0.9996057,0.0002059362,0.9996057
SGJR_10058,2.178125,0.9750000000000001,0.018198958333333334,16,10.5,Janrabel,Rezidansyel,4.0,0.008355332373017159,moyen,moyen,0.00041892874,0.99928445,0.00029662278,0.99928445
SGJR_10059,0.9852083333333334,0.495,0.01031875,48,11.104166666666666,Janrabel,Rezidansyel,4.0,0.010473673070358716,petit,grand,0.000149411,0.0002981913,0.9995524,0.9995524
SGJR_10060,2.235588235294118,1.055,0.020610784313725494,34,15.617647058823529,Janrabel,Rezidansyel,4.0,0.009219400951890633,moyen,moyen,0.0002671178,0.9995467,0.00018610574,0.9995467
SGJR_10062,2.15574144486692,0.73,0.022191444866920155,263,15.585551330798479,Janrabel,Rezidansyel,4.0,0.010294112454657557,moyen,moyen,0.0001772775,0.99966264,0.00016006663,0.99966264
SGJR_10063,1.035,1.035,0.01107,2,21.5,Janrabel,Rezidansyel,4.0,0.01069565216357908,petit,grand,0.0001595468,0.00020823794,0.99963224,0.99963224
SGJR_10064,0.48585987261146496,0.07,0.0050845647558386406,157,9.031847133757962,Janrabel,Rezidansyel,4.0,0.010465084753849609,petit,grand,0.00023901972,0.00046934828,0.99929166,0.99929166
SGJR_10065,4.098409090909091,0.2,0.039298068181818184,88,12.477272727272727,Janrabel,Rezidansyel,4.0,0.009588615314024848,grand,petit,0.9980856,0.0015747866,0.00033958815,0.9980856
SGJR_10066,1.9036000000000002,1.0899999999999999,0.017844533333333332,25,10.56,Janrabel,Rezidansyel,4.0,0.009374098194977533,moyen,moyen,0.00022907153,0.9995616,0.00020933723,0.9995616
SGJR_10067,9.694223300970874,2.515,0.10175988673139158,206,19.140776699029125,Janrabel,Rezidansyel,4.0,0.010496961289379768,grand,petit,0.9994236,0.0003985904,0.00017786279,0.9994236
SGJR_10068,0.6750000000000002,0.545,0.007287222222222222,6,21.0,Janrabel,Rezidansyel,4.0,0.010795884757668645,petit,grand,0.0001595468,0.00020823794,0.99963224,0.99963224
SGJR_10069,1.34,1.34,0.011586666666666665,1,24.0,Janrabel,Rezidansyel,4.0,0.008646766162701417,petit,grand,0.000348532,0.0005441039,0.9991073,0.9991073
SGJR_10070,0.1416666666666667,0.13,0.0013655555555555554,6,9.666666666666666,Janrabel,Rezidansyel,4.0,0.009639215618232985,petit,grand,0.00016402995,0.0002666939,0.99956924,0.99956924
SGJR_10071,0.5243835616438356,0.16,0.004523196347031963,73,11.438356164383562,Janrabel,Rezidansyel,4.0,0.008625740143773623,petit,grand,0.00037995167,0.00046806646,0.99915195,0.99915195
SGJR_10074,2.4976119402985075,1.45,0.026775721393034822,67,15.82089552238806,Janrabel,Rezidansyel,4.0,0.010720529058294834,moyen,moyen,0.0002953118,0.9993925,0.00031222423,0.9993925
SGJR_10077,1.395,1.395,0.015043333333333332,2,29.5,Janrabel,Rezidansyel,4.0,0.010783751485698623,moyen,moyen,0.00023146851,0.99873465,0.0010338421,0.99873465
SGJR_10078,8.78207100591716,1.51,0.08748047337278107,169,16.118343195266274,Janrabel,Rezidansyel,4.0,0.00996125780625976,grand,petit,0.9994567,0.00037559686,0.00016774038,0.9994567
SGJR_10080,2.575128205128205,0.30000000000000004,0.025299316239316236,117,11.051282051282051,Janrabel,Rezidansyel,4.0,0.009824488030968618,moyen,moyen,0.00018356812,0.9996563,0.00016006561,0.9996563
SGJR_10081,0.0875,0.05,0.0008499999999999998,4,8.0,Janrabel,Rezidansyel,4.0,0.009714285603265307,petit,grand,0.0001624868,0.00026669432,0.9995708,0.9995708
SGJR_10082,8.153636363636364,7.430000000000001,0.0650160606060606,11,9.454545454545455,Janrabel,Rezidansyel,4.0,0.00797387296888119,grand,petit,0.9996382,0.00022315526,0.00013862806,0.9996382
SGJR_10083,7.128333333333333,2.065,0.07514305555555555,60,18.033333333333335,Janrabel,Rezidansyel,4.0,0.010541462082536463,grand,petit,0.99948055,0.0003151858,0.00020429026,0.99948055
SGJR_10084,1.4849999999999999,0.41500000000000004,0.015869777777777778,60,13.216666666666667,Janrabel,Rezidansyel,4.0,0.010686719035078155,moyen,moyen,0.00022982336,0.99951756,0.00025263842,0.99951756
SGJR_10085,6.2700000000000005,6.2700000000000005,0.05432,1,17.0,Janrabel,Rezidansyel,4.0,0.008663476872621454,grand,petit,0.9996382,0.00022315526,0.00013862806,0.9996382
SGJR_10086,0.9666666666666668,1.37,0.008357777777777778,3,12.333333333333334,Janrabel,Rezidansyel,4.0,0.008645977002550138,petit,grand,0.00033024052,0.00043950573,0.99923027,0.99923027
SGJR_10087,0.8870212765957448,0.13,0.008154326241134751,47,11.23404255319149,Janrabel,Rezidansyel,4.0,0.009192931947739636,petit,grand,0.00029194995,0.000520073,0.999188,0.999188
SGJR_10088,0.04,0.04,0.0003333333333333333,1,4.0,Janrabel,Rezidansyel,4.0,0.008333333125000005,petit,grand,0.0003243729,0.0004676532,0.99920803,0.99920803
SGJR_10089,0.2,0.2,0.0016666666666666666,1,10.0,Janrabel,Rezidansyel,4.0,0.008333333291666667,petit,grand,0.0003243729,0.0004676532,0.99920803,0.99920803
SGJR_10090,0.6033333333333333,0.32,0.005715396825396825,21,29.142857142857142,Janrabel,Rezidansyel,4.0,0.009473033396558772,petit,grand,0.00018029916,0.00025407886,0.99956566,0.99956566
SGJR_10092,1.1625,0.38,0.009525833333333334,16,9.0,Janrabel,Rezidansyel,4.0,0.008194265225926079,petit,grand,0.00036738464,0.0005555345,0.9990771,0.9990771
SGJR_10093,1.5098717948717948,0.525,0.015118974358974357,78,25.012820512820515,Janrabel,Rezidansyel,4.0,0.010013415973668621,moyen,moyen,0.0002784259,0.9991371,0.00058452727,0.9991371
SGJR_10094,2.79,0.235,0.03041088888888889,90,18.988888888888887,Janrabel,Rezidansyel,4.0,0.010899960171322196,moyen,moyen,0.00022391304,0.9995702,0.00020592888,0.9995702
SGJR_10095,0.25,0.25,0.0020833333333333333,1,25.0,Janrabel,Komesyal,4.0,0.008333333299999999,petit,grand,0.0003243729,0.0004676532,0.99920803,0.99920803
